model,type,outcome,n_obs,r2,ai_beta,ai_ci_low,ai_ci_high,ai_p
conf_M1,Confirmatory,confidence_change,89,0.025131755266725064,5.210144927536224,-3.0207046423786315,13.44099449745108,0.21473090155595276
conf_M2,Confirmatory,confidence_change,89,0.04211053026062839,5.845374164075124,-2.565337198083614,14.25608552623386,0.1731478371596804
conf_M3,Exploratory,confidence_change,89,0.043153418561072354,6.069689201742575,-2.6248835009845966,14.764261904469747,0.17123300317120782
belief_ack,Exploratory,belief_change,89,0.06716143512913375,11.269441019697942,-8.980396204291479,31.51927824368736,0.275378804243676
