model,label,r2,delta_r2
M1,Treatment only,0.014364821645539094,0.0
M2,M1 + Reflection quality,0.048689751330109554,0.03432492968457046
M3,M2 + Interaction (exploratory),0.0709550799565013,0.022265328626391745
M4,M2 + Stance strength + Topics,0.08221248024981942,0.033522728919709865
M4b,M2 + Arg quality (exploratory),0.04869715429813104,7.4029680214859894e-06
M4c,M1 + Arg quality without reflection (exploratory),0.041386531347008426,0.027021709701469332
M5,Full model (M4 + arg quality + rounds + first_player),0.09673323355370733,0.014520753303887912
