model,formula,ols_ai_coef,ols_ai_se,ols_ai_p,ols_ai_ci_low,ols_ai_ci_high,ols_r2,rlm_ai_coef,rlm_ai_se,rlm_ai_p,wls_ai_coef,wls_ai_se,wls_ai_p,wls_ai_ci_low,wls_ai_ci_high,wls_r2
M1,"belief_change ~ C(group_2lvl, Treatment(""human""))",8.694927536231884,9.418603270469179,0.35592107884237734,-9.765195658558874,27.15505073102264,0.014364821645539094,7.766237725360834,7.884040297439275,,8.694927536231875,9.745023046788228,0.3747239835800917,-10.674360975840765,28.064216048304516,0.009067571342546099
M2,"belief_change ~ C(group_2lvl, Treatment(""human"")) + p1_reflection_quality_z",6.701228564801808,9.83826893117558,0.49578354785791223,-12.5814242105217,25.98388134012532,0.048689751330109554,4.5452560406766835,7.769115154330699,,6.447485717502834,10.013193424098336,0.5213544433635141,-13.458084003949866,26.353055438955536,0.06289527266515682
M3,"belief_change ~ C(group_2lvl, Treatment(""human"")) * p1_reflection_quality_z",8.989099392708574,10.399361229235971,0.38737391992883263,-11.393274078816113,29.37147286423326,0.0709550799565013,9.03509692954408,7.93967760911689,,8.548384151489694,10.490273833822354,0.41741454711558384,-12.309090652947328,29.405858955926718,0.07450896653570616
M4,"belief_change ~ C(group_2lvl, Treatment(""human"")) + p1_reflection_quality_z + initial_stance_strength_z + C(topic_id)",8.33410106108758,9.938664791491167,0.40171997510261137,-11.145323984651395,27.813526106826554,0.08221248024981942,5.59945040854126,7.777730191126064,,5.644327792019629,9.281725718224173,0.5447737450452549,-12.816651352145675,24.10530693618493,0.10418561453953235
M4b,"belief_change ~ C(group_2lvl, Treatment(""human"")) + p1_reflection_quality_z + persuader_arg_quality_z",6.792754480631372,10.010312607013065,0.49740676960216246,-12.82709770310149,26.412606664364237,0.04869715429813104,4.989637971591926,8.50788115354628,,4.425151802578733,10.25001175189567,0.667036851067218,-15.954617614979803,24.804921220137267,0.06185368736187291
M4c,"belief_change ~ C(group_2lvl, Treatment(""human"")) + persuader_arg_quality_z + initial_stance_strength_z + C(topic_id)",9.907150222122924,9.423788070833465,0.29312463596329985,-8.563134994648864,28.377435438894715,0.041386531347008426,8.899815895517694,8.726973683066433,,5.948349241350739,9.794635718357402,0.5453052124260298,-13.532787263929192,25.429485746630668,0.02955378833468736
M5,"belief_change ~ C(group_2lvl, Treatment(""human"")) + p1_reflection_quality_z + persuader_arg_quality_z + initial_stance_strength_z + C(topic_id) + n_rounds + first_player_p1",5.233228255196622,11.274241762072041,0.6425219208172541,-16.863879551461977,27.33033606185522,0.09673323355370733,2.23203827243694,9.569693077721347,,-4.617816125199719,9.798164217632687,0.6387135192885302,-24.116784330154715,14.881152079755275,0.11709121660117827
