model,type,n_obs,r2,adj_r2,ai_beta,ai_ci_low,ai_ci_high,ai_p,delta_r2
M1,Confirmatory,89,0.014364821645539094,0.003035681664453227,8.694927536231884,-9.765195658558874,27.15505073102264,0.35592107884237734,0.0
M2,Confirmatory,89,0.048689751330109554,0.026566257174995833,6.701228564801808,-12.5814242105217,25.98388134012532,0.49578354785791223,0.03432492968457046
M3,Exploratory,89,0.0709550799565013,0.03816525924908365,8.989099392708574,-11.393274078816113,29.37147286423326,0.38737391992883263,0.056590258310962205
M4,Confirmatory,89,0.08221248024981942,0.02692407544559161,8.33410106108758,-10.978061510445116,27.646263632620276,0.3976553455397581,0.06784765860428033
M4b,Exploratory,89,0.04869715429813104,0.01512175974394736,6.792754480631372,-12.82709770310149,26.412606664364237,0.49740676960216246,0.034332332652591946
M4c,Exploratory,89,0.041386531347008426,-0.016361267969436932,9.907150222122924,-6.697512579541852,26.511813023787703,0.24223850950603487,0.027021709701469332
M5,Confirmatory,89,0.09673323355370733,0.006406556909077987,5.233228255196622,-22.373666476030913,32.840122986424156,0.7102387882604763,0.08236841190816824
