model,n_trimmed,ai_beta_full,ai_beta_trim,ai_pct_change,ai_p_trim,rq_beta_full,rq_beta_trim,rq_pct_change,rq_p_trim
M1,87,8.694927536231884,8.669402985074637,0.29355680137511986,0.3505542110172468,,,,
M2,87,6.701228564801808,6.922554708961782,3.302769664095453,0.4759433612284728,-5.703611305355109,-4.992322776125433,12.470845069015283,0.10410649622677007
M3,87,8.989099392708574,9.030397142515692,0.45942032680844713,0.3801911242573577,3.409871221809015,3.409871221809017,5.209454327890577e-14,0.5853000574721097
M4,87,8.33410106108758,8.384918207301745,0.6097495799688941,0.38747859645022875,-6.600385603611453,-5.8843759462594285,10.847997380035714,9.56241900604786e-06
M4b,87,6.792754480631372,7.6344373975537,12.390892668390617,0.4405141279091557,-5.694043567351924,-4.915466833670802,13.673529618657406,0.10341083762137578
M4c,87,9.907150222122924,10.369176890320121,4.663567805457107,0.2448457681868106,,,,
M5,87,5.233228255196622,6.6706347651652775,27.46691793046298,0.6578024843054073,-6.0661319392255555,-5.449967665463634,10.15744925984226,3.972600202856853e-09
