condition,n,belief_change_mean,belief_change_sd,p1_reflection_quality_mean,persuader_arg_quality_mean,acknowledgement_rate
human-human,21,-7.904761904761905,37.401744293421345,18.049166666666668,2.4896825396825397,0.75
firm,28,1.7142857142857142,35.00990033823464,14.438690476190475,3.1825255102040813,0.14285714285714285
balanced,20,-0.2,23.522889188819335,12.276045204795205,2.840211038961039,0.35
open-minded,21,1.6666666666666667,21.036476257523102,15.436621315192744,2.7023620559334844,0.42857142857142855
